City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
110,Taunton,GB,2022-05-12 20:53:35,51.0211,-3.1047,56.46,92,46,9.33
111,Sao Felix Do Xingu,BR,2022-05-12 20:53:36,-6.6447,-51.995,80.1,78,55,2.73
112,Salinopolis,BR,2022-05-12 20:53:36,-0.6136,-47.3561,78.89,86,77,6.31
113,Lucea,JM,2022-05-12 20:53:37,18.451,-78.1736,78.85,70,23,0.6
114,Kysyl-Syr,RU,2022-05-12 20:53:37,63.8986,122.7617,38.28,99,100,5.57
115,Saskylakh,RU,2022-05-12 20:53:37,71.9167,114.0833,11.23,92,58,14.12
116,Ankang,CN,2022-05-12 20:53:38,32.68,109.0172,60.89,86,100,2.33
117,Wilmington,US,2022-05-12 20:51:18,34.2257,-77.9447,76.91,72,75,17.27
118,Luderitz,NA,2022-05-12 20:53:39,-26.6481,15.1594,55.13,79,4,11.12
119,Taksimo,RU,2022-05-12 20:53:39,56.3444,114.8794,40.64,79,88,5.46
120,Flinders,AU,2022-05-12 20:53:40,-34.5833,150.8552,67.37,92,100,5.99
121,Sao Joao Da Barra,BR,2022-05-12 20:50:52,-21.6403,-41.0511,77.09,78,84,16.11
122,Yellowknife,CA,2022-05-12 20:53:40,62.456,-114.3525,46.92,57,40,10.36
123,Kanigoro,ID,2022-05-12 20:53:41,-8.13,112.219,74.23,96,26,3.24
124,Naron,ES,2022-05-12 20:53:41,43.5167,-8.1528,61.65,87,100,11.9
125,Dikson,RU,2022-05-12 20:53:42,73.5069,80.5464,15.24,92,98,6.02
126,Pimenta Bueno,BR,2022-05-12 20:53:42,-11.6725,-61.1936,79.41,78,85,3.65
127,Kaeo,NZ,2022-05-12 20:53:42,-35.1,173.7833,49.32,96,2,5.17
128,Victoria,HK,2022-05-12 20:49:59,22.2855,114.1577,78.94,97,100,4.0
129,Yulara,AU,2022-05-12 20:53:43,-25.2406,130.9889,53.91,64,0,7.02
130,Moree,AU,2022-05-12 20:53:44,-29.4667,149.85,64.15,98,100,9.26
131,Vostok,RU,2022-05-12 20:53:44,46.4856,135.8833,43.88,69,99,1.99
132,Mount Pleasant,US,2022-05-12 20:53:44,32.7941,-79.8626,69.94,83,100,10.36
